,Investors,Primary Investor Type,Other Investor Types,# of Investment Professionals,HQ State/Province,HQ Country/Territory,HQ Global Region,HQ Global Sub Region,Investor Status,Last Updated Date,Ownership Status,Company Financing Status,Primary Industry Sector,Primary Industry Group,Primary Industry Code,All Industries,Verticals,Keywords,SIC Code Descriptions,SIC Group Descriptions,SIC Sector Descriptions,Revenue,Total Assets,Net Income,Enterprise Value,EBITDA,EBIT,Market Cap,Net Debt,Free Cash Flow,Investments,Exits,Active Portfolio,Investments in the last 7 days,Investments in the last 6 months,Investments in the last 12 months,Investments in the last 2 years,Investments in the last 5 years,Total Investments,Total Exits,Total Active Portfolio,Total Investments in the last 7 days,Total Investments in the last 6 months,Total Investments in the last 12 months,Total Investments in the last 2 years,Total Investments in the last 5 years,Last Investment Date,Last Investment Size,Last Investment Size Status,Last Investment Valuation,Last Investment Valuation Status,Last Investment Type,Last Investment Type 2,Last Investment Type 3,Last Investment Class,Last Investment Debt,Last Investment Debt Size,Last Investment Debt Date,Last Investment Status,AUM,Dry Powder,Trade Association,Total # of Hedge Funds,Total # of Credit,Total # of Equity,Total # of Macro,Total # of Event Driven,Total # of Relative Value,Total # of Risk Parity,Total # of Risk Premia,Total # of Fund of Funds,Total # of Other,Total Hedge Fund NAV,Total NAV Credit,Total NAV Equity,Total NAV Macro,Total NAV Event Driven,Total NAV Relative Value,Total NAV Risk Parity,Total NAV Risk Premia,Total NAV Fund of Funds,Total NAV Other,# Funds Open,# Funds Closed,# Funds Closed in the last 6 months,# Funds Closed in the last 12 months,# Funds Closed in the last 2 years,# Funds Closed in the last 5 years,Most Likely Fundraising,Min Fund Size,Max Fund Size,Median Fund Size,Total Funds Open,Total Funds Closed,Total Funds Closed in the last 6 months,Total Funds Closed in the last 12 months,Total Funds Closed in the last 2 years,Total Funds Closed in the last 5 years,Last Closed Fund Vintage,Last Closed Fund Size,Last Closed Fund Type,Last Closed Fund Close Date,Last Closed Fund Open Date,Preferred Industry,Preferred Verticals,Preferred Geography,Preferred Investment Types,Real Asset Preferences,Impact Category Preferences,Other Stated Preferences,Preferred Investment Amount,Preferred Investment Amount Min,Preferred Investment Amount Max,Preferred Deal Size,Preferred Deal Size Min,Preferred Deal Size Max,Preferred Company Valuation,Preferred Company Valuation Min,Preferred Company Valuation Max,Preferred EBITDA,Preferred EBITDA Min,Preferred EBITDA Max,Preferred EBIT,Preferred EBIT Min,Preferred EBIT Max,Preferred Revenue,Preferred Revenue Min,Preferred Revenue Max,Preferred Investment Horizon,Latest Note,Latest Note - Author,Median Quartile,Number of Funds,1 (Top Quartile),2 (Upper-Mid Quartile),3 (Lower-Mid Quartile),4 (Bottom Quartile),today,days_diff,Last Investment Delta,Last Investment Size filled,Recency Score,Frequency Score,Monetary Score,RFM Score,Segment,Recency,Frequency,Monetary
1643,Investor 1644,Angel (individual),,,California,United States,Americas,North America,Actively Seeking New Investments,14-Jun-23,,,,,,,,,,,,,,,,,,,,,1,,1.0,,,1.0,1.0,1,1,,1.0,,,1.0,1.0,1,27-Mar-23,90.0,Estimated,1600.0,Actual,Later Stage VC,Series C,,Venture Capital,,,27-Mar-23,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,10.76 - 32.28,10.76,32.28,,,,,,,,,,,,,5.38,5.38,,,,,,,,,,,2023-07-22,117 days,117,90.0,4,1,5,415,Promising,117,1,90.0
1644,Investor 1645,Venture Capital,,2.0,,,,,Actively Seeking New Investments,24-Mar-23,,,,,,,,,,,,,,,,,,,,,24,3.0,20.0,,,2.0,10.0,17,24,3.0,20.0,,,2.0,10.0,17,1-Aug-22,4.99,Actual,30.0,Actual,Seed Round,Seed Round,,Venture Capital,,,1-Aug-22,Completed,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,"Early Stage VC, Later Stage VC, Seed Round",,,"Prefers minority stake, Will syndicate",,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,355 days,355,4.99,3,4,3,343,Loyal Investors,355,24,4.99
1645,Investor 1646,Venture Capital,,,England,United Kingdom,Europe,Western Europe,Actively Seeking New Investments,10-May-23,,,,,,,,,,,,,,,,,,,,,1,,1.0,,,,1.0,1,1,,1.0,,,,1.0,1,25-Apr-23,97.4,Actual,1160.0,Actual,Later Stage VC,Series B1,,Venture Capital,,,25-Apr-23,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Pharmaceuticals and Biotechnology,"Digital Health, HealthTech, Life Sciences","Canada, Europe, Israel, United States","Early Stage VC, Later Stage VC, Seed Round",,,"Prefers minority stake, Will syndicate",,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,88 days,88,97.4,5,1,5,515,New Investors,88,1,97.4
1646,Investor 1647,Angel (individual),,,Massachusetts,United States,Americas,North America,Actively Seeking New Investments,19-May-23,,,,,,,,,,,,,,,,,,,,,2,,2.0,,,,,1,2,,2.0,,,,,1,12-Jul-22,0.6,Actual,,,Seed Round,Seed Round,,Venture Capital,,,12-Jul-22,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,2010.0,284.33,Growth/Expansion,1-Jan-10,26-May-09,Software,"Artificial Intelligence & Machine Learning, CloudTech & DevOps",India,"Early Stage VC, Later Stage VC, Seed Round",,,"Prefers minority stake, Will syndicate",,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,375 days,375,0.6,3,1,1,311,About to Sleep,375,2,0.6
1647,Investor 1648,Angel Group,,2.0,,Cayman Islands,Americas,Central America,,14-Jun-23,,,,,,,,,,,,,,,,,,,,,44,,43.0,,2.0,13.0,33.0,43,44,,43.0,,2.0,13.0,33.0,43,1-Jun-22,4.0,Actual,,,Seed Round,Seed Round,,Venture Capital,,,1-Jun-22,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,2017.0,50.0,Venture - General,10-Dec-18,,Software,Cryptocurrency/Blockchain,,"Early Stage VC, Later Stage VC, Seed Round",,,"Prefers minority stake, Will syndicate",,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,416 days,416,4.0,2,5,3,253,Can't Lose,416,44,4.0
1648,Investor 1649,Angel (individual),,,England,United Kingdom,Europe,Western Europe,,12-Jun-23,,,,,,,,,,,,,,,,,,,,,2,,2.0,,,,,2,2,,2.0,,,,,2,1-Mar-22,12.0,Actual,70.0,Actual,Seed Round,Seed Round,,Venture Capital,,,1-Mar-22,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Software,"FinTech, TMT",,,,,,0.25 - 1.00,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,508 days,508,12.0,2,1,4,214,Hibernating,508,2,12.0
1649,Investor 1650,Venture Capital,,1.0,,Russia,Europe,Eastern Europe,,15-Jun-23,,,,,,,,,,,,,,,,,,,,,73,7.0,62.0,,4.0,16.0,38.0,67,73,7.0,62.0,,4.0,16.0,38.0,67,13-Jul-22,3.4,Actual,,,Seed Round,Seed Round,,Venture Capital,,,13-Jul-22,Completed,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,Yes,1.0,1.0,1.0,,1.0,,,,1.0,2021.0,,Real Estate Opportunistic,31-Dec-21,11-Jun-21,Software,,,"Early Stage VC, Later Stage VC, Seed Round",,,"Long-Term Investor, Prefers minority stake, Will syndicate",,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,374 days,374,3.4,3,5,3,353,Loyal Investors,374,73,3.4
1650,Investor 1651,Corporation,,,California,United States,Americas,North America,Actively Seeking New Investments,14-Jun-23,Acquired/Merged,Corporate Backed or Acquired,Business Products and Services (B2B),Commercial Services,Media and Information Services (B2B),"Media and Information Services (B2B)*, Social/Platform Software, Vertical Market Software",TMT,"coupons, online deals",,,,,,,,,,,,,2,,1.0,,,1.0,1.0,1,2,,1.0,,,1.0,1.0,1,1-Dec-22,,,,,PE Growth/Expansion,,,Private Equity,,,1-Dec-22,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,2023.0,2134.73,Venture - General,27-Apr-23,18-Feb-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,233 days,233,0.0,3,1,1,311,About to Sleep,233,2,0.0
1651,Investor 1652,Venture Capital,,,California,United States,Americas,North America,,8-Jun-23,,,,,,,,,,,,,,,,,,,,,2,,2.0,,,1.0,2.0,2,2,,2.0,,,1.0,2.0,2,26-Apr-23,4.3,Actual,,,Seed Round,Seed Round,,Venture Capital,,,26-Apr-23,Completed,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,Yes,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,87 days,87,4.3,5,1,3,513,New Investors,87,2,4.3
1652,Investor 1653,Angel (individual),,,New York,United States,Americas,North America,,2-Jun-23,,,,,,,,,,,,,,,,,,,,,4,,4.0,,,,3.0,3,4,,4.0,,,,3.0,3,9-Sep-22,6.21,Actual,30.71,Actual,Seed Round,Seed Round,,Venture Capital,,,9-Sep-22,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,"Biotechnology, Healthcare Technology Systems","Digital Health, HealthTech, Life Sciences",,"Accelerator/Incubator, Early Stage VC, Later Stage VC, Seed Round",,,"Prefers minority stake, Will syndicate",,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,316 days,316,6.21,3,2,3,323,About to Sleep,316,4,6.21
1653,Investor 1654,Angel (individual),,,California,United States,Americas,North America,,15-Jun-23,,,,,,,,,,,,,,,,,,,,,1,,1.0,,,,,1,1,,1.0,,,,,1,5-Oct-22,3.9,Actual,,,Seed Round,Seed Round,,Venture Capital,,,5-Oct-22,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,290 days,290,3.9,3,1,3,313,About to Sleep,290,1,3.9
1654,Investor 1655,Corporation,,,California,United States,Americas,North America,Actively Seeking New Investments,14-Jun-23,,,,,,,,,,,,,,,,,,,,,1,,1.0,,,,1.0,1,1,,1.0,,,,1.0,1,8-Jun-23,28.67,Actual,,,Later Stage VC,Series A,,Venture Capital,,,8-Jun-23,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,44 days,44,28.67,5,1,5,515,New Investors,44,1,28.67
1655,Investor 1656,Angel (individual),,,Guernsey,United Kingdom,Europe,Western Europe,,24-Mar-23,,,,,,,,,,,,,,,,,,,,,10,2.0,8.0,,,1.0,6.0,8,10,2.0,8.0,,,1.0,6.0,8,24-Apr-23,,,,,Later Stage VC,,,Corporate,,,24-Apr-23,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,"Apparel and Accessories, Commercial Products, Commercial Services, Commercial Transportation, Communications and Networking, Computer Hardware, Consumer Durables, Consumer Non-Durables, Healthcare Devices and Supplies, Healthcare Services, Healthcare Technology Systems, IT Services, Media, Other Business Products and Services, Other Consumer Products and Services, Other Healthcare, Other Information Technology, Pharmaceuticals and Biotechnology, Restaurants, Hotels and Leisure, Retail, Semiconductors, Services (Non-Financial), Software, Transportation","Artificial Intelligence & Machine Learning, Cryptocurrency/Blockchain, FinTech, Life Sciences, Robotics and Drones",,"Early Stage VC, Later Stage VC, Seed Round",,,"Prefers minority stake, Will syndicate",,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,89 days,89,0.0,5,3,1,531,Potential Loyalists,89,10,0.0
1656,Investor 1657,Corporate Venture Capital,"Family Office, Growth/Expansion, Limited Partner, PE/Buyout, Venture Capital",4.0,California,United States,Americas,North America,,5-Jun-23,,,,,,,,,,,,,,,,,,,,,66,16.0,46.0,,4.0,4.0,10.0,30,66,16.0,46.0,,4.0,4.0,10.0,30,27-Apr-23,53.0,Actual,123.0,Actual,Later Stage VC,Series E,,Venture Capital,,,27-Apr-23,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,"Business Products and Services (B2B), Healthcare, Information Technology","Advanced Manufacturing, Artificial Intelligence & Machine Learning, CleanTech, Cryptocurrency/Blockchain, Esports, FinTech, FoodTech, HealthTech, Internet of Things, Mobile, Space Technology, Wearables & Quantified Self",Asia,"Accelerator/Incubator, Early Stage VC, Later Stage VC, PE Growth/Expansion, Seed Round",,,"Prefers minority stake, Will syndicate",,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,86 days,86,53.0,5,5,5,555,Champions,86,66,53.0
1657,Investor 1658,Angel (individual),,,California,United States,Americas,North America,Actively Seeking New Investments,26-Mar-23,,,,,,,,,,,,,,,,,,,,,4,1.0,3.0,,,,,2,4,1.0,3.0,,,,,2,18-Feb-23,6.11,Actual,77.41,Estimated,Seed Round,Seed Round,,Venture Capital,,,18-Feb-23,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,154 days,154,6.11,4,2,3,423,Potential Loyalists,154,4,6.11
1658,Investor 1659,Angel (individual),,,,,,,Actively Seeking New Investments,14-Jun-23,,,,,,,,,,,,,,,,,,,,,1,,1.0,,,,,1,1,,1.0,,,,,1,17-Aug-22,20.0,Actual,130.0,Actual,Later Stage VC,Series B,,Venture Capital,,,17-Aug-22,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,"Business Products and Services (B2B), Consumer Products and Services (B2C), Software","Autonomous cars, Big Data, E-Commerce, Internet of Things, Mobile, Real Estate Technology, SaaS, TMT",,"Early Stage VC, Later Stage VC, Seed Round",,,"Prefers minority stake, Will syndicate",,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,339 days,339,20.0,3,1,4,314,About to Sleep,339,1,20.0
1659,Investor 1660,Venture Capital,,,New York,United States,Americas,North America,Actively Seeking New Investments,16-May-23,,,,,,,,,,,,,,,,,,,,,1,,1.0,,,,1.0,1,1,,1.0,,,,1.0,1,1-Jun-23,6.6,Actual,32.0,Actual,Seed Round,Seed Round,,Venture Capital,,,1-Jun-23,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,51 days,51,6.6,5,1,3,513,New Investors,51,1,6.6
1660,Investor 1661,Angel (individual),,,,South Korea,Asia,East Asia,Actively Seeking New Investments,14-Jun-23,,,,,,,,,,,,,,,,,,,,,2,,1.0,,,,1.0,2,2,,1.0,,,,1.0,2,31-May-23,,,,,Merger/Acquisition,,,Corporate,,,31-May-23,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Services (Non-Financial),Gaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,52 days,52,0.0,5,1,1,511,New Investors,52,2,0.0
1661,Investor 1662,Angel (individual),Limited Partner,,,Luxembourg,Europe,Western Europe,,5-Jun-23,,,,,,,,,,,,,,,,,,,,,2,1.0,1.0,,,,1.0,1,2,1.0,1.0,,,,1.0,1,13-Mar-23,,,,,Buyout/LBO,,,Private Equity,Loan - $20.00M (Term Loan; Floating); Revolving Credit Line - $50.00M (Secured; Floating),20.0,13-Mar-23,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Software,FinTech,,,,,,0.01 - 1.00,0.01,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,131 days,131,0.0,4,1,1,411,Promising,131,2,0.0
1662,Investor 1663,Angel (individual),,,California,United States,Americas,North America,Acquired/Merged,14-Jun-23,,,,,,,,,,,,,,,,,,,,,7,2.0,5.0,,,,2.0,5,7,2.0,5.0,,,,2.0,5,2-Dec-22,3.03,Actual,,,Seed Round,Seed Round,,Venture Capital,,,2-Dec-22,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Software,"SaaS, TMT",United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,232 days,232,3.03,3,3,2,332,Need Attention,232,7,3.03
1663,Investor 1664,Angel (individual),,,Connecticut,United States,Americas,North America,Actively Seeking New Investments,9-Jun-23,,,,,,,,,,,,,,,,,,,,,76,2.0,68.0,,6.0,16.0,48.0,75,76,2.0,68.0,,6.0,16.0,48.0,75,15-Feb-23,6.0,Actual,24.0,Actual,Seed Round,Seed Round,,Venture Capital,,,15-Feb-23,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,157 days,157,6.0,4,5,3,453,Loyal Investors,157,76,6.0
1664,Investor 1665,Angel (individual),,,,,,,Actively Seeking New Investments,12-Jun-23,,,,,,,,,,,,,,,,,,,,,4,,4.0,,,1.0,2.0,4,4,,4.0,,,1.0,2.0,4,18-May-22,18.0,Actual,,,Early Stage VC,Series A,,Venture Capital,Loan - $3.00M,3.0,18-May-22,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,2021.0,122.4,Venture - General,30-Jun-22,30-Nov-20,"Communications and Networking, Other Information Technology, Software","Big Data, Internet of Things",,"Early Stage VC, Later Stage VC, Seed Round",,,"Prefers minority stake, Will syndicate",,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,430 days,430,18.0,2,2,4,224,Hibernating,430,4,18.0
1665,Investor 1666,Accelerator/Incubator,,2.0,Massachusetts,United States,Americas,North America,,25-May-23,,,,,,,,,,,,,,,,,,,,,77,19.0,43.0,,,2.0,3.0,17,77,19.0,43.0,,,2.0,3.0,17,14-Jun-23,0.68,Actual,,,Seed Round,Seed Round,,Venture Capital,,,14-Jun-23,Completed,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,Yes,3.0,3.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,38 days,38,0.68,5,5,1,551,Champions,38,77,0.68
1666,Investor 1667,Angel Group,,1.0,,,,,,14-Jun-23,,,,,,,,,,,,,,,,,,,,,8,,8.0,,1.0,3.0,8.0,8,8,,8.0,,1.0,3.0,8.0,8,18-Aug-21,1.5,Actual,96.5,Estimated,Seed Round,Seed Round,,Venture Capital,,,18-Aug-21,Completed,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,Yes,,,,1.0,,,,,,,,,,,"Communications and Networking, Computer Hardware, Healthcare Devices and Supplies, Healthcare Services, Healthcare Technology Systems, IT Services, Other Healthcare, Other Information Technology, Pharmaceuticals and Biotechnology, Security Services (B2B), Semiconductors, Software, Transportation","Artificial Intelligence & Machine Learning, Big Data, Cybersecurity, HealthTech, Life Sciences, SaaS",,"Angel (individual), Early Stage VC, Later Stage VC, Seed Round",,,"Prefers minority stake, Will syndicate",,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,703 days,703,1.5,1,3,2,132,At Risk,703,8,1.5
1667,Investor 1668,Angel (individual),,,,,,,Actively Seeking New Investments,19-Apr-23,,,,,,,,,,,,,,,,,,,,,3,1.0,2.0,,,,1.0,2,3,1.0,2.0,,,,1.0,2,8-Feb-22,17.1,Actual,,,Early Stage VC,Series A,,Venture Capital,,,8-Feb-22,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,"East Asia, Southeast Asia","Early Stage VC, Later Stage VC, Seed Round",,,"Prefers minority stake, Will syndicate",,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,529 days,529,17.1,2,2,4,224,Hibernating,529,3,17.1
1668,Investor 1669,Angel (individual),,,California,United States,Americas,North America,Actively Seeking New Investments,15-Jun-23,,,,,,,,,,,,,,,,,,,,,11,2.0,9.0,,,2.0,9.0,10,11,2.0,9.0,,,2.0,9.0,10,1-Dec-22,6.5,Actual,,,Seed Round,Seed Round,,Venture Capital,,,1-Dec-22,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,"Other Financial Services, Software",,,,,,,0.20 - 10.00,0.2,10.0,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,233 days,233,6.5,3,3,3,333,Need Attention,233,11,6.5
1669,Investor 1670,Corporate Venture Capital,"Limited Partner, Venture Capital",3.0,,,,,,14-Jun-23,,,,,,,,,,,,,,,,,,,,,33,7.0,23.0,,4.0,7.0,15.0,30,33,7.0,23.0,,4.0,7.0,15.0,30,1-Jul-21,31.0,Actual,,,Early Stage VC,Series A,,Venture Capital,,,1-Jul-21,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,751 days,751,31.0,1,4,5,145,At Risk,751,33,31.0
1670,Investor 1671,Angel (individual),,,New York,United States,Americas,North America,Actively Seeking New Investments,13-Jun-23,,,,,,,,,,,,,,,,,,,,,2,,2.0,,,,1.0,2,2,,2.0,,,,1.0,2,10-May-23,10.0,Actual,,,Early Stage VC,,,Venture Capital,,,10-May-23,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,"Construction and Engineering, Information Technology",SaaS,,"Acquisition Financing, Early Stage VC, Later Stage VC, PE Growth/Expansion, Seed Round",,,"Prefers majority stake, Prefers minority stake, Will syndicate",,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,73 days,73,10.0,5,1,4,514,New Investors,73,2,10.0
1671,Investor 1672,Corporation,Accelerator/Incubator,,California,United States,Americas,North America,Actively Seeking New Investments,14-Jun-23,Privately Held (backing),Corporate Backed or Acquired,Business Products and Services (B2B),Commercial Services,Consulting Services (B2B),"Consulting Services (B2B)*, Other Commercial Services, Specialized Finance",,"economic development services, export marketing, financial assistance, government assistance, insurance, support service",,,,,,,,,,,,,75,4.0,60.0,,1.0,3.0,17.0,58,75,4.0,60.0,,1.0,3.0,17.0,58,22-Sep-22,,,,,Seed Round,Seed Round,,Venture Capital,,,22-Sep-22,Completed,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,Yes,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,303 days,303,0.0,3,5,1,351,Loyal Investors,303,75,0.0
1672,Investor 1673,Angel (individual),,,California,United States,Americas,North America,,28-Apr-23,,,,,,,,,,,,,,,,,,,,,4,,4.0,,1.0,2.0,3.0,4,4,,4.0,,1.0,2.0,3.0,4,14-Feb-23,3.0,Actual,,,Early Stage VC,,,Venture Capital,,,14-Feb-23,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,158 days,158,3.0,4,2,2,422,Potential Loyalists,158,4,3.0
1673,Investor 1674,Angel (individual),,,,Netherlands,Europe,Western Europe,Actively Seeking New Investments,20-Feb-23,,,,,,,,,,,,,,,,,,,,,2,,2.0,,,,,1,2,,2.0,,,,,1,6-Jun-22,60.0,Actual,,,Later Stage VC,Series B,,Venture Capital,,,6-Jun-22,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,"Financial Services, Software","Cryptocurrency/Blockchain, FinTech, InsurTech",,"Early Stage VC, Later Stage VC, Seed Round",,,"Prefers minority stake, Will syndicate",,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,411 days,411,60.0,2,1,5,215,Hibernating,411,2,60.0
1674,Investor 1675,Corporation,,,,,,,,15-Jun-23,,,,,,,,,,,,,,,,,,,,,1,1.0,,,,,,1,1,1.0,,,,,,1,27-Jan-23,3.4,Actual,,,Seed Round,Seed Round,,Venture Capital,,,27-Jan-23,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,176 days,176,3.4,4,1,3,413,Promising,176,1,3.4
1675,Investor 1676,Angel (individual),,,,,,,,14-Jun-23,,,,,,,,,,,,,,,,,,,,,8,1.0,7.0,,,1.0,1.0,7,8,1.0,7.0,,,1.0,1.0,7,30-Jan-23,,,,,Later Stage VC,,,Venture Capital,,,30-Jan-23,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,2019.0,1.0,Venture Capital - Early Stage,11-Apr-19,,,,,,,,,1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,173 days,173,0.0,4,3,1,431,Potential Loyalists,173,8,0.0
1676,Investor 1677,Venture Capital,Growth/Expansion,8.0,Sao Paulo,Brazil,Americas,South America,Acquired/Merged,12-Jun-23,,,,,,,,,,,,,,,,,,,,,95,20.0,42.0,,5.0,13.0,36.0,69,95,20.0,42.0,,5.0,13.0,36.0,69,15-Nov-22,5.34,Actual,,,Seed Round,Series 1,,Venture Capital,,,15-Nov-22,Completed,1524.54,363.99,French Venture Capital Association,,,,,,,,,,,,,,,,,,,,,2.0,5.0,,,2.0,3.0,Yes,90.0,377.3,192.9,2.0,5.0,,,2.0,3.0,,,,,,Software,"Artificial Intelligence & Machine Learning, Big Data, E-Commerce, EdTech, FinTech, HR Tech, Internet of Things, Real Estate Technology, SaaS","Africa, American Samoa, Asia, Bahrain, Central America, Cook Islands, Eastern Europe, Fiji, French Polynesia, Gaza Strip, Iran, Iraq, Jordan, Kiribati, Kuwait, Lebanon, Marshall Islands, Melanesia, Micronesia, Nauru, New Caledonia, New Zealand, Niue, Northern Mariana Islands, Oman, Palau, Palestine, Papua New Guinea, Pitcairn Islands, Qatar, Samoa, Saudi Arabia, Solomon Islands, South America, Syria, Tokelau, Tonga, Turkey, Tuvalu, United Arab Emirates, Vanuatu, Wallis and Futuna, West Bank, Yemen","Early Stage VC, Later Stage VC, Seed Round",,,"Prefers minority stake, Will syndicate",,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,249 days,249,5.34,3,5,3,353,Loyal Investors,249,95,5.34
1677,Investor 1678,Venture Capital,,5.0,California,United States,Americas,North America,,14-Jun-23,,,,,,,,,,,,,,,,,,,,,28,,28.0,,3.0,11.0,21.0,25,28,,28.0,,3.0,11.0,21.0,25,28-Nov-22,4.5,Actual,,,Later Stage VC,,,Venture Capital,,,28-Nov-22,Completed,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,Yes,,,,1.0,,,,,,2017.0,15.0,Venture Debt,13-Nov-17,,"Food Products, Logistics, Other Financial Services, Other Information Technology, Other Transportation","Autonomous cars, FinTech, FoodTech, Infrastructure, Internet of Things, LOHAS & Wellness, Mortgage Tech, Real Estate Technology, TMT",,"Early Stage VC, Later Stage VC, Seed Round",,,"Long-Term Investor, Prefers minority stake, Will syndicate",,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,236 days,236,4.5,3,4,3,343,Loyal Investors,236,28,4.5
